cell_lat,cell_lon,total,weekly_avg
-25.0,130.0,8,0.002976823304273868
-25.0,145.0,1,0.0003721029130342335
-25.0,155.0,1,0.0003721029130342335
-25.0,160.0,1,0.0003721029130342335
-25.0,165.0,801,0.298054433340421
-25.0,170.0,878,0.326706357644057
-25.0,175.0,338,0.1257707846055709
-25.0,180.0,1,0.0003721029130342335
-20.0,-180.0,1498,0.5574101637252817
-20.0,-175.0,1915,0.7125770784605571
-20.0,-170.0,2,0.000744205826068467
-20.0,-140.0,1,0.0003721029130342335
-20.0,-135.0,2,0.000744205826068467
-20.0,-130.0,6,0.0022326174782054007
-20.0,-120.0,19,0.0070699553476504355
-20.0,-100.0,1,0.0003721029130342335
-20.0,-80.0,49,0.01823304273867744
-20.0,-75.0,539,0.20056347012545184
-20.0,-70.0,254,0.0945141399106953
-20.0,-65.0,28,0.010418881564958536
-20.0,-25.0,2,0.000744205826068467
-20.0,-20.0,1,0.0003721029130342335
-20.0,-15.0,92,0.034233467999149475
-20.0,10.0,2,0.000744205826068467
-20.0,25.0,4,0.001488411652136934
-20.0,30.0,2,0.000744205826068467
-20.0,35.0,3,0.0011163087391027004
-20.0,40.0,10,0.0037210291303423344
-20.0,45.0,2,0.000744205826068467
-20.0,60.0,4,0.001488411652136934
-20.0,65.0,146,0.054327025302998086
-20.0,85.0,2,0.000744205826068467
-20.0,90.0,3,0.0011163087391027004
-20.0,95.0,1,0.0003721029130342335
-20.0,110.0,1,0.0003721029130342335
-20.0,115.0,1,0.0003721029130342335
-20.0,120.0,9,0.003348926217308101
-20.0,130.0,10,0.0037210291303423344
-20.0,145.0,2,0.000744205826068467
-20.0,160.0,1,0.0003721029130342335
-20.0,165.0,1556,0.5789921326812673
-20.0,170.0,72,0.02679140973846481
-20.0,175.0,227,0.084467361258771
-20.0,180.0,1,0.0003721029130342335
-15.0,-180.0,98,0.03646608547735488
-15.0,-175.0,84,0.03125664469487561
-15.0,-170.0,2,0.000744205826068467
-15.0,-135.0,2,0.000744205826068467
-15.0,-130.0,1,0.0003721029130342335
-15.0,-115.0,46,0.017116733999574738
-15.0,-110.0,4,0.001488411652136934
-15.0,-80.0,266,0.0989793748671061
-15.0,-75.0,153,0.056931745694237715
-15.0,-70.0,7,0.002604720391239634
-15.0,-60.0,2,0.000744205826068467
-15.0,-50.0,1,0.0003721029130342335
-15.0,-20.0,1,0.0003721029130342335
-15.0,-15.0,131,0.048745481607484584
-15.0,-5.0,1,0.0003721029130342335
-15.0,10.0,2,0.000744205826068467
-15.0,20.0,3,0.0011163087391027004
-15.0,25.0,4,0.001488411652136934
-15.0,30.0,21,0.007814161173718902
-15.0,40.0,35,0.01302360195619817
-15.0,45.0,21,0.007814161173718902
-15.0,60.0,2,0.000744205826068467
-15.0,65.0,116,0.04316393791197108
-15.0,75.0,3,0.0011163087391027004
-15.0,85.0,1,0.0003721029130342335
-15.0,90.0,6,0.0022326174782054007
-15.0,95.0,6,0.0022326174782054007
-15.0,100.0,2,0.000744205826068467
-15.0,105.0,13,0.004837337869445035
-15.0,110.0,149,0.055443334042100785
-15.0,115.0,291,0.10828194769296193
-15.0,120.0,80,0.029768233042738675
-15.0,125.0,3,0.0011163087391027004
-15.0,130.0,1,0.0003721029130342335
-15.0,135.0,1,0.0003721029130342335
-15.0,150.0,13,0.004837337869445035
-15.0,155.0,3,0.0011163087391027004
-15.0,160.0,822,0.3058685945141399
-15.0,165.0,1879,0.6991813735913247
-15.0,170.0,58,0.02158196895598554
-15.0,175.0,15,0.005581543695513501
-10.0,-180.0,1,0.0003721029130342335
-10.0,-175.0,1,0.0003721029130342335
-10.0,-135.0,1,0.0003721029130342335
-10.0,-125.0,4,0.001488411652136934
-10.0,-120.0,3,0.0011163087391027004
-10.0,-115.0,2,0.000744205826068467
-10.0,-110.0,88,0.032745056347012545
-10.0,-105.0,5,0.0018605145651711672
-10.0,-85.0,63,0.023442483521156708
-10.0,-80.0,184,0.06846693599829895
-10.0,-75.0,135,0.050233893259621513
-10.0,-40.0,2,0.000744205826068467
-10.0,-25.0,2,0.000744205826068467
-10.0,-15.0,104,0.03869870295556028
-10.0,10.0,1,0.0003721029130342335
-10.0,20.0,1,0.0003721029130342335
-10.0,25.0,34,0.012651499043163938
-10.0,30.0,28,0.010418881564958536
-10.0,35.0,18,0.006697852434616202
-10.0,65.0,106,0.03944290878162875
-10.0,70.0,52,0.01934935147778014
-10.0,80.0,2,0.000744205826068467
-10.0,85.0,2,0.000744205826068467
-10.0,90.0,4,0.001488411652136934
-10.0,95.0,7,0.002604720391239634
-10.0,100.0,457,0.1700510312566447
-10.0,105.0,506,0.18828407399532213
-10.0,110.0,290,0.1079098447799277
-10.0,115.0,387,0.14400382734424835
-10.0,120.0,509,0.18940038273442483
-10.0,125.0,1067,0.3970338082075271
-10.0,130.0,578,0.21507548373378693
-10.0,135.0,3,0.0011163087391027004
-10.0,140.0,190,0.07069955347650436
-10.0,145.0,1193,0.4439187752498405
-10.0,150.0,2122,0.7896023814586434
-10.0,155.0,848,0.31554327025303
-10.0,160.0,98,0.03646608547735488
-5.0,-115.0,2,0.000744205826068467
-5.0,-110.0,61,0.02269827769508824
-5.0,-105.0,76,0.028279821390601742
-5.0,-95.0,19,0.0070699553476504355
-5.0,-90.0,1,0.0003721029130342335
-5.0,-85.0,136,0.05060599617265575
-5.0,-80.0,208,0.07739740591112056
-5.0,-75.0,1,0.0003721029130342335
-5.0,-65.0,1,0.0003721029130342335
-5.0,-40.0,1,0.0003721029130342335
-5.0,-25.0,60,0.022326174782054006
-5.0,-20.0,134,0.04986179034658728
-5.0,-15.0,111,0.041303423346799914
-5.0,-10.0,1,0.0003721029130342335
-5.0,10.0,4,0.001488411652136934
-5.0,20.0,1,0.0003721029130342335
-5.0,25.0,43,0.01600042526047204
-5.0,30.0,9,0.003348926217308101
-5.0,35.0,22,0.008186264086753136
-5.0,45.0,1,0.0003721029130342335
-5.0,55.0,2,0.000744205826068467
-5.0,60.0,1,0.0003721029130342335
-5.0,65.0,100,0.03721029130342335
-5.0,70.0,5,0.0018605145651711672
-5.0,75.0,1,0.0003721029130342335
-5.0,80.0,10,0.0037210291303423344
